,Unnamed: 0,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
47,47,GJ 357 b,GJ 357,3.9306,0.036,,1.2,1.84,1.84,5.6,12.6,518.0,89.228,3505.0,0.34,0.34,-1.798,-0.12,4.94,9.44181,105.883,9.44181,Transit,2019,Unknown
48,48,GJ 411 b,GJ 411,12.9394,0.07879,0.063,,2.69,,,3.13,370.0,,3719.0,0.37,0.39,-1.71,-0.362,4.89,5.675773,392.4,5.675773,Radial Velocity,2019,Unknown
49,49,GJ 433 b,GJ 433,7.3705,0.062,0.04,,6.043,,,,,,3461.0,0.5,0.48,-1.699,-0.17,4.81,9.06456,110.291,9.06456,Radial Velocity,2011,Unknown
50,50,GJ 436 b,GJ 436,2.64389762,0.02849,0.145,3.812,21.23094,25.4,1.73,29.43,594.0,86.7,3350.0,0.46,0.45,-1.585,-0.03,4.84,9.75321,102.501,9.75321,Radial Velocity,2004,Mini-Neptune
51,51,GJ 486 b,GJ 486,1.46712127,0.01714,0.00086,1.289,2.77,2.77,6.66,39.2,696.0,89.39,3317.0,0.32,0.31,-1.939,-0.15,4.91,8.07426,123.821,8.07426,Radial Velocity,2021,Unknown
52,52,GJ 581 b,GJ 581,5.36879,0.04099,0.02,,16.24103,,,,,,3490.39,0.32,0.32,-1.885,-0.088,4.94,6.2981,158.749,6.2981,Radial Velocity,2005,Unknown
53,53,GJ 581 c,GJ 581,12.9144,0.07359,0.12,,5.05347,,,,,,3490.39,0.32,0.32,-1.885,-0.088,4.94,6.2981,158.749,6.2981,Radial Velocity,2007,Unknown
54,54,GJ 581 e,GJ 581,3.153,0.029,0.125,,1.657,,,,,,3396.0,0.33,0.31,-1.885,,4.89,6.2981,158.749,6.2981,Radial Velocity,2009,Unknown
55,55,GJ 667 C b,GJ 667 C,7.1999,0.050431,0.15,,5.6,,,,,,3650.0,,0.33,-1.863,-0.55,4.69,7.24396,138.017,7.24396,Radial Velocity,2012,Unknown
56,56,GJ 667 C c,GJ 667 C,28.1,0.12501,0.27,,4.1,,,,,,3650.0,,0.33,-1.863,-0.55,4.69,7.24396,138.017,7.24396,Radial Velocity,2013,Unknown
57,57,GJ 676 A b,GJ 676 A,1051.44521,1.735,0.319,,1840.86213,1840.86213,,,,48.919,3734.0,0.69,0.63,,0.08,4.62,16.0272,62.365,16.0272,Radial Velocity,2010,Unknown
58,58,GJ 687 b,GJ 687,38.152,0.1658,0.153,,17.57591,,,,,,3561.3,0.4,0.42,-1.672,0.063,4.86,4.54939,219.781,4.54939,Radial Velocity,2014,Unknown
59,59,GJ 832 b,GJ 832,3853.0,3.7,0.05,,314.65012,314.65012,,,,51.0,3472.0,0.44,0.45,-1.585,-0.3,4.7,4.96435,201.407,4.96435,Radial Velocity,2008,Unknown
60,60,GJ 849 b,GJ 849,1925.31,2.32,0.029,,283.82077,,,,,,3467.0,0.45,0.45,-1.59,0.09,4.8,8.80058,113.6,8.80058,Radial Velocity,2006,Unknown
61,61,GJ 876 b,GJ 876,61.4,0.2177,0.16,,1144.18227,1144.18227,,,,101.0,3293.74,0.37,0.37,-1.893,0.213,4.87,4.67517,213.867,4.67517,Radial Velocity,1998,Unknown
62,62,GJ 876 c,GJ 876,30.22902,0.1363,0.0069,,221.84423,266.2,,,,59.0,3293.74,0.37,0.37,-1.893,0.213,4.87,4.67517,213.867,4.67517,Radial Velocity,2000,Unknown
63,63,GJ 876 d,GJ 876,1.937916,0.02183,0.273,,5.84804,7.49,,,,59.0,3293.74,0.37,0.37,-1.893,0.213,4.87,4.67517,213.867,4.67517,Radial Velocity,2005,Unknown
64,64,GJ 9827 b,GJ 9827,1.208974,0.0189,0.063,1.44,4.28,4.28,7.858,318.0,1035.0,87.6,4236.0,0.58,0.62,,-0.29,4.72,29.661,33.6855,29.661,Transit,2017,Unknown
65,65,GJ 9827 c,GJ 9827,3.648103,0.0395,0.094,1.13,1.86,1.86,7.142,73.0,716.0,89.09,4236.0,0.58,0.62,,-0.29,4.72,29.661,33.6855,29.661,Transit,2017,Unknown
66,66,GJ 9827 d,GJ 9827,6.20183,0.053,0.13,1.98,3.02,3.02,2.454,34.9,675.0,87.41,4236.0,0.58,0.62,-1.004,-0.29,4.7,29.661,33.6855,29.661,Transit,2017,Unknown
67,67,GSC 06214-00210 b,GSC 06214-00210,,320.0,,20.176,5000.0,5000.0,,,2300.0,,4200.0,0.9,0.9,-0.42,,4.37,108.5,9.18797,108.5,Imaging,2010,Gas Giant
68,68,Gaia22dkvL b,Gaia22dkvL,,2.04,,,79.4571,79.4571,,,,,,,1.29,,,,1580.0,,1580.0,Microlensing,2024,Unknown
69,69,HAT-P-1 b,HAT-P-1,4.46529913,0.0551,0.0,14.534,169.72122,166.86075,0.339,243.7,1100.0,85.63,5975.0,1.14,1.13,0.17,0.13,4.38,158.979,6.26153,158.979,Transit,2006,Gas Giant
70,70,HAT-P-11 b,HAT-P-11,4.88780244,0.0532,0.2577,4.901,25.0,25.0,1.172,100.77,847.0,89.027,4780.0,0.76,0.86,-0.585,0.31,4.56,37.7647,26.4508,37.7647,Transit,2008,Unknown
71,71,HAT-P-11 c,HAT-P-11,3299.0,4.13,0.617,,731.009,731.009,,,,135.7,4653.0,0.74,0.81,,0.31,,37.7647,26.4508,37.7647,Radial Velocity,2018,Unknown
72,72,HAT-P-12 b,HAT-P-12,3.21305762,0.03837,0.0,15.244,67.06213,67.06213,0.328,118.08,975.0,89.0,4650.0,0.7,0.73,-0.678,-0.29,4.61,142.751,6.97632,142.751,Transit,2009,Unknown
73,73,HAT-P-13 b,HAT-P-13,2.91624268,0.0427,0.021,16.778,280.64389,280.64389,0.517,1978.52,1701.0,83.4,5653.0,1.56,1.22,0.346,0.41,4.13,246.81,4.02313,246.81,Transit,2009,Gas Giant
74,74,HAT-P-13 c,HAT-P-13,445.82,1.258,0.6554,,4643.4963,,,,340.0,,5653.0,1.76,1.32,0.346,0.46,4.13,246.81,4.02313,246.81,Radial Velocity,2009,Unknown
75,75,HAT-P-14 b,HAT-P-14,4.62766098,0.06062,0.1074,14.369,731.96249,731.96249,1.88,1038.78,1581.0,83.77,6600.0,1.47,1.39,0.563,0.11,4.25,222.663,4.46233,222.663,Transit,2010,Gas Giant
76,76,HAT-P-15 b,HAT-P-15,10.86345165,0.0965,0.19,9.573,619.45067,619.45067,1.96,79.76,762.0,89.1,5568.0,1.08,1.01,0.0,0.22,4.38,192.516,5.16638,192.516,Transit,2010,Unknown
77,77,HAT-P-16 b,HAT-P-16,2.77596748,0.04134,0.036,14.235,1341.56043,1341.56043,2.45,1186.35,1497.0,86.6,6158.0,1.24,1.22,0.294,0.17,4.34,226.637,4.38591,226.637,Transit,2010,Gas Giant
78,78,HAT-P-17 b,HAT-P-17,10.33853522,0.0882,0.342,11.873,170.67471,170.67471,0.647,110.51,903.0,89.2,5246.0,0.84,0.86,-0.319,0.0,4.52,92.3831,10.796,92.3831,Transit,2010,Gas Giant
79,79,HAT-P-18 b,HAT-P-18,5.50802941,0.05596,0.087,10.73,63.566,63.566,0.251,82.24,768.0,88.53,4803.0,0.75,0.77,-0.569,0.1,4.57,161.4,6.16693,161.4,Transit,2010,Unknown
80,80,HAT-P-19 b,HAT-P-19,4.00878322,0.04599,0.07,11.299,88.03847,88.03847,0.335,154.0,981.0,89.52,4962.0,0.77,0.81,-0.485,0.166,4.57,202.078,4.91998,202.078,Transit,2010,Unknown
81,81,HAT-P-2 b,HAT-P-2,5.63346964,0.06814,0.502,13.258,2866.81223,2866.81223,7.3,588.52,1372.0,86.72,6290.0,1.51,1.33,0.505,0.12,4.2,127.774,7.79749,127.774,Transit,2007,Gas Giant
82,82,HAT-P-20 b,HAT-P-20,2.87531773,0.03617,0.015,11.133,2310.6241,2310.6241,13.8,85.12,846.0,86.8,4595.0,0.69,0.76,-0.721,0.35,4.63,71.0374,14.0483,71.0374,Transit,2010,Gas Giant
83,83,HAT-P-21 b,HAT-P-21,4.12448852,0.0495,0.228,12.425,1261.7851,1261.7851,4.6,459.54,1289.0,87.2,5588.0,1.1,0.95,0.025,0.01,4.33,277.278,3.57807,277.278,Transit,2010,Gas Giant
84,84,HAT-P-22 b,HAT-P-22,3.21223218,0.04171,0.016,11.882,696.68336,696.68336,1.72,325.57,1293.0,86.9,5302.0,1.04,0.92,-0.114,0.24,4.36,81.7647,12.2014,81.7647,Transit,2010,Gas Giant
85,85,HAT-P-23 b,HAT-P-23,1.2128864,0.0232,0.052,14.105,626.1251,626.1251,0.96,2796.23,1855.0,85.7,5905.0,1.2,1.13,0.199,0.15,4.33,364.813,2.71289,364.813,Transit,2010,Gas Giant
86,86,HAT-P-24 b,HAT-P-24,3.35524439,0.04651,0.067,15.497,229.79109,229.79109,0.467,1294.93,1530.0,88.6,6373.0,1.32,1.19,0.408,-0.16,4.27,415.344,2.37947,415.344,Transit,2010,Gas Giant
87,87,HAT-P-25 b,HAT-P-25,3.65281524,0.0466,0.023,12.722,180.84527,180.84527,0.483,325.0,1182.0,88.2,5500.0,0.96,1.01,-0.125,0.31,4.48,300.384,3.30091,300.384,Transit,2010,Gas Giant
88,88,HAT-P-26 b,HAT-P-26,4.234503,0.0479,0.12,7.096,22.2481,22.2481,0.4,185.07,941.0,87.82,5079.0,0.79,0.82,-0.42,-0.04,4.56,141.837,7.02213,141.837,Transit,2010,Unknown
89,89,HAT-P-27 b,HAT-P-27,3.03957804,0.03998,0.08,10.915,195.78328,195.78328,0.76,336.04,1092.0,84.7,5300.0,0.9,0.94,-0.244,0.29,4.51,199.173,4.9922,199.173,Transit,2011,Gas Giant
90,90,HAT-P-28 b,HAT-P-28,3.25721296,0.04337,0.05,12.357,202.45771,202.45771,0.459,554.71,1238.0,88.0,5680.0,1.1,1.02,0.053,0.12,4.36,401.319,2.46327,401.319,Transit,2011,Gas Giant
91,91,HAT-P-29 b,HAT-P-29,5.7233685,0.0665,0.07,11.926,243.77561,243.77561,0.79,433.0,1271.0,88.0,6087.0,1.22,1.21,0.265,0.21,4.34,313.576,3.16099,313.576,Transit,2011,Gas Giant
92,92,HAT-P-3 b,HAT-P-3,2.89973815,0.03871,0.0,10.211,187.83753,189.10885,0.975,176.59,1170.0,87.1,5185.0,0.83,0.93,-0.348,0.27,4.56,134.554,7.40311,134.554,Transit,2007,Gas Giant
93,93,HAT-P-30 b,HAT-P-30,2.81060097,0.0419,0.016,15.995,237.10118,237.10118,0.385,1467.96,1579.0,82.7,6304.0,1.22,1.24,0.312,0.13,4.36,213.985,4.64498,213.985,Transit,2011,Gas Giant
94,94,HAT-P-31 b,HAT-P-31,5.0052702,0.061,0.245,13.631,682.38101,682.38101,2.3,746.9,1333.0,87.1,6065.0,1.36,1.22,0.348,0.15,4.26,344.05,2.87789,344.05,Transit,2011,Gas Giant
95,95,HAT-P-32 b,HAT-P-32,2.1500082,0.03397,0.16,22.194,216.1244,216.1244,0.108,1841.0,1836.0,89.0,6207.0,1.22,1.16,0.294,-0.16,4.22,289.205,3.43046,289.205,Transit,2011,Gas Giant
96,96,HAT-P-33 b,HAT-P-33,3.47447703,0.04995,0.18,19.613,209.7678,209.7678,0.17,1701.38,1789.0,87.2,6446.0,1.64,1.38,0.618,0.05,4.14,396.11,2.4966,396.11,Transit,2011,Gas Giant
97,97,HAT-P-34 b,HAT-P-34,5.45264682,0.06774,0.44,14.55,1058.3739,1058.3739,2.5,433.78,1271.0,87.1,6442.0,1.53,1.39,0.56,0.22,4.17,249.325,3.98272,249.325,Transit,2011,Gas Giant
98,98,HAT-P-35 b,HAT-P-35,3.6466584,0.04978,0.025,13.284,335.62848,335.62848,0.55,999.67,1434.0,87.3,6096.0,1.44,1.24,0.407,0.12,4.24,506.965,1.94478,506.965,Transit,2011,Gas Giant
99,99,HAT-P-36 b,HAT-P-36,1.32734681,0.0241,0.063,14.314,587.41341,587.41341,1.175,1821.0,1781.0,85.2,5560.0,1.1,1.02,0.013,0.26,4.37,294.419,3.36776,294.419,Transit,2011,Gas Giant
100,100,HAT-P-37 b,HAT-P-37,2.79744256,0.03793,0.14,12.015,381.396,381.396,0.91,412.39,1149.0,86.7,5500.0,0.88,0.93,-0.208,0.03,4.54,390.594,2.53138,390.594,Transit,2011,Gas Giant
101,101,HAT-P-38 b,HAT-P-38,4.64032787,0.05231,0.07,10.241,84.86061,84.86061,0.6,243.03,1007.0,88.3,5330.0,0.92,0.89,-0.208,0.06,4.37,255.206,3.88991,255.206,Transit,2012,Unknown
102,102,HAT-P-39 b,HAT-P-39,3.5438737,0.05095,0.17,19.12,180.84527,180.84527,0.1836,1915.69,1687.0,87.0,6430.0,1.62,1.4,0.607,0.19,4.07,697.004,1.40636,697.004,Transit,2012,Gas Giant
103,103,HAT-P-4 b,HAT-P-4,3.05652301,0.0445,0.084,15.163,208.17865,206.90733,0.38,1438.0,1715.0,89.7,5860.0,1.59,1.26,0.431,0.33,4.07,320.451,3.09194,320.451,Transit,2007,Gas Giant
104,104,HAT-P-40 b,HAT-P-40,4.4572184,0.06076,0.12,18.031,184.65923,184.65923,0.138,1747.42,1649.0,88.3,6080.0,2.21,1.51,0.778,0.22,3.85,464.469,2.12459,464.469,Transit,2012,Gas Giant
105,105,HAT-P-41 b,HAT-P-41,2.69404968,0.04258,0.22,18.887,254.264,254.264,0.204,2485.07,1801.0,87.7,6390.0,1.68,1.42,0.628,0.21,4.12,348.185,2.84386,348.185,Transit,2012,Gas Giant
106,106,HAT-P-42 b,HAT-P-42,4.64183885,0.0575,0.11,12.603,279.6904,279.6904,0.52,684.1,1304.0,85.9,5743.0,1.53,1.18,0.356,0.27,4.14,405.238,2.43957,405.238,Transit,2012,Gas Giant
107,107,HAT-P-43 b,HAT-P-43,3.33268054,0.0444,0.21,13.63,232.0159,232.0159,0.431,521.88,1353.0,88.7,5645.0,1.1,1.05,0.045,0.23,4.37,528.825,1.86227,528.825,Transit,2012,Gas Giant
108,108,HAT-P-44 b,HAT-P-44,4.30119043,0.0507,0.044,15.368,111.871,111.871,0.23,185.12,1027.0,89.1,5295.0,0.95,0.94,-0.194,0.33,4.46,347.85,2.84594,347.85,Transit,2014,Gas Giant
109,109,HAT-P-45 b,HAT-P-45,3.12899506,0.04521,0.11,16.908,273.3338,273.3338,0.358,1052.24,1453.0,87.8,6330.0,1.32,1.26,0.4,0.07,4.3,298.64,3.3218,298.64,Transit,2014,Gas Giant
110,110,HAT-P-46 b,HAT-P-46,4.46313574,0.0577,0.12,13.393,156.684,156.684,0.28,1405.48,1562.0,85.5,6120.0,1.4,1.28,0.391,0.3,4.25,290.736,3.41237,290.736,Transit,2014,Gas Giant
111,111,HAT-P-49 b,HAT-P-49,2.69155536,0.04378,0.0,17.45,562.5591,562.5591,0.78,4392.03,2267.0,86.2,6820.0,1.83,1.54,0.814,0.074,4.1,350.351,2.82576,350.351,Transit,2014,Gas Giant
112,112,HAT-P-5 b,HAT-P-5,2.78847323,0.04097,0.072,13.574,324.1866,324.1866,0.642,850.68,1377.0,86.8,5960.0,1.12,1.04,0.188,0.24,4.37,303.336,3.26786,303.336,Transit,2007,Gas Giant
113,113,HAT-P-50 b,HAT-P-50,3.12200511,0.04527,0.084,14.323,431.93097,431.93097,0.79,2108.44,1728.0,83.7,6280.0,1.7,1.27,0.603,-0.18,4.07,515.458,1.91293,515.458,Transit,2015,Gas Giant
114,114,HAT-P-51 b,HAT-P-51,4.21802091,0.05042,0.07,13.507,97.57332,97.57332,0.218,310.0,1168.0,89.28,5453.0,0.99,0.96,-0.102,0.302,4.43,440.089,2.24399,440.089,Transit,2015,Unknown
115,115,HAT-P-52 b,HAT-P-52,2.7535976,0.03696,0.03,10.711,259.66711,259.66711,0.98,227.76,1082.0,87.0,5131.0,0.89,0.89,-0.305,0.28,4.48,361.155,2.74033,361.155,Transit,2015,Gas Giant
116,116,HAT-P-53 b,HAT-P-53,1.96162371,0.0316,0.085,12.896,469.43491,469.43491,0.8,1611.53,1765.0,86.2,5956.0,1.21,1.09,0.217,0.0,4.31,666.802,1.47114,666.802,Transit,2015,Gas Giant
117,117,HAT-P-54 b,HAT-P-54,3.79985297,0.04122,0.66,11.8,578.4506,578.4506,2.7,88.67,783.0,87.04,4390.0,0.62,0.65,-0.902,-0.127,4.67,143.651,6.93252,143.651,Transit,2015,Unknown
118,118,HAT-P-55 b,HAT-P-55,3.5852313,0.04628,0.17,14.841,189.42573,189.42573,0.318,583.0,1367.0,86.8,5804.0,1.1,1.03,0.097,0.003,4.36,511.388,1.9266,511.388,Transit,2015,Gas Giant
119,119,HAT-P-56 b,HAT-P-56,2.790825,0.04232,0.29,16.72,603.877,603.877,0.75,1998.78,1705.0,82.13,6566.0,1.43,1.3,,-0.077,4.24,320.639,3.09123,320.639,Transit,2015,Gas Giant
